,MovieID,Title,Genres,Number_of_Ratings,Average_Rating
0,1,Toy Story (1995),Animation|Children's|Comedy,2077,4.146846413095811
1,2,Jumanji (1995),Adventure|Children's|Fantasy,701,3.20114122681883
2,3,Grumpier Old Men (1995),Comedy|Romance,478,3.01673640167364
3,4,Waiting to Exhale (1995),Comedy|Drama,170,2.7294117647058824
4,5,Father of the Bride Part II (1995),Comedy,296,3.0067567567567566
5,6,Heat (1995),Action|Crime|Thriller,940,3.8787234042553194
6,7,Sabrina (1995),Comedy|Romance,458,3.410480349344978
7,8,Tom and Huck (1995),Adventure|Children's,68,3.014705882352941
8,9,Sudden Death (1995),Action,102,2.656862745098039
9,10,GoldenEye (1995),Action|Adventure|Thriller,888,3.5405405405405403
10,11,"American President, The (1995)",Comedy|Drama|Romance,1033,3.7938044530493706
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,160,2.3625
12,13,Balto (1995),Animation|Children's,99,3.2626262626262625
13,14,Nixon (1995),Drama,153,3.542483660130719
14,15,Cutthroat Island (1995),Action|Adventure|Romance,146,2.458904109589041
15,16,Casino (1995),Drama|Thriller,682,3.7932551319648096
16,17,Sense and Sensibility (1995),Drama|Romance,835,4.027544910179641
17,18,Four Rooms (1995),Thriller,157,3.337579617834395
18,19,Ace Ventura: When Nature Calls (1995),Comedy,389,2.480719794344473
19,20,Money Train (1995),Action,160,2.5375
20,21,Get Shorty (1995),Action|Comedy|Drama,1356,3.6238938053097347
21,22,Copycat (1995),Crime|Drama|Thriller,378,3.3492063492063493
22,23,Assassins (1995),Thriller,126,2.857142857142857
23,24,Powder (1995),Drama|Sci-Fi,624,3.1794871794871793
24,25,Leaving Las Vegas (1995),Drama|Romance,980,3.6510204081632653
25,26,Othello (1995),Drama,100,3.53
26,27,Now and Then (1995),Drama,61,2.9344262295081966
27,28,Persuasion (1995),Romance,179,4.055865921787709
28,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,403,4.062034739454094
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,74,3.6486486486486487
30,31,Dangerous Minds (1995),Drama,141,3.1134751773049647
31,32,Twelve Monkeys (1995),Drama|Sci-Fi,1511,3.945731303772336
32,33,Wings of Courage (1995),Adventure|Romance,4,3.0
33,34,Babe (1995),Children's|Comedy|Drama,1751,3.8914905768132497
34,35,Carrington (1995),Drama|Romance,70,3.3142857142857145
35,36,Dead Man Walking (1995),Drama,928,3.9579741379310347
36,37,Across the Sea of Time (1995),Documentary,8,3.5
37,38,It Takes Two (1995),Comedy,28,2.8214285714285716
38,39,Clueless (1995),Comedy|Romance,1362,3.6233480176211454
39,40,"Cry, the Beloved Country (1995)",Drama,30,3.933333333333333
40,41,Richard III (1995),Drama|War,242,3.958677685950413
41,42,Dead Presidents (1995),Action|Crime|Drama,221,2.8687782805429864
42,43,Restoration (1995),Drama,166,3.4457831325301207
43,44,Mortal Kombat (1995),Action|Adventure,311,2.787781350482315
44,45,To Die For (1995),Comedy|Drama,544,3.4246323529411766
45,46,How to Make an American Quilt (1995),Drama|Romance,166,3.108433734939759
